Date;Close;High;Low;Open;Volume
2011-05-02;97.45572662353516;98.24261912290072;97.08209973906908;97.43308366514304;5644425
2011-05-03;97.86327362060547;98.20860113653879;96.93485861976349;97.37075791988048;5238054
2011-05-04;96.58955383300781;97.72177368568025;96.00645717539328;97.57458546625266;7207254
2011-05-05;95.36669921875;96.73102210485904;94.82324158655577;96.50458368365067;7669272
2011-05-06;96.03776550292969;96.75425365501447;95.66814931938627;96.11737933134081;5062012
2011-05-09;96.15716552734375;96.58364215650293;95.70793561218112;95.75343310828613;3760161
2011-05-10;96.88505554199219;97.1807485164074;96.22542786588649;96.24249056668147;5161801
2011-05-11;96.38459777832031;96.9646113256273;95.42928668622649;96.83950911873166;4877707
2011-05-12;97.94271087646484;98.2440943991314;95.90129516282562;96.46993681154878;5374871
2011-05-13;96.62344360351562;97.89151039020648;96.35049494591287;97.63562442716692;5405100
2011-05-16;96.02069091796875;97.03287179592556;95.7079353402062;96.56089767200257;4876661
2011-05-17;96.9532470703125;97.47070955605567;94.69574380180755;95.44634802803603;9176767
2011-05-18;96.91915893554688;97.34564471537249;96.3618893867594;96.7258240398893;4345398
2011-05-19;97.00443267822266;97.46503467662798;96.28226320013181;97.15796970299158;3701062
2011-05-20;96.75991821289062;97.32286914839032;96.31637891197538;96.89639254208774;5093915
2011-05-23;95.6795425415039;95.92405649739759;95.00285214257747;95.86150536031955;5380624
2011-05-24;95.52596282958984;95.91264158843856;95.2530141852144;95.81596509180069;4857206
2011-05-25;95.38951110839844;95.75912726108538;95.25303675387534;95.32127846908843;4060677
2011-05-26;95.06538391113281;95.24735576877869;94.33752370825871;95.22460247964561;6036780
2011-05-27;95.24732971191406;95.79890849750564;94.96300897251518;95.48047144759505;3428370
2011-05-31;96.06047058105469;96.60635869483475;95.42927808997534;95.78183139736868;9543076
2011-06-01;94.71282196044922;96.43011881614153;94.67870564366382;96.04343999820018;5370792
2011-06-02;94.4455337524414;95.01985666753853;94.22944566322606;94.6445500748537;4031389
2011-06-03;93.85415649414062;94.33182116912478;93.3310124787357;93.42767990137025;5471103
2011-06-06;93.68354797363281;94.15552196853031;93.4105993760029;93.6892385625373;3786206
2011-06-07;93.080810546875;93.96220763023345;93.03532212932663;93.88828441376668;4379602
2011-06-08;93.45042419433594;93.74043553840386;92.83629426982884;92.84197578392369;4027937
2011-06-09;93.73472595214844;94.37160903166765;93.68923754500395;93.83139335528011;4497591
2011-06-10;92.79077911376953;93.7347179366951;92.6144979373099;93.58119003776132;4898732
2011-06-13;92.78512573242188;93.5186764465005;92.53492126239169;93.5073043411266;5333763
2011-06-14;93.32530975341797;93.58120475170662;93.0580517284275;93.18315393294642;7374300
2011-06-15;92.30744934082031;92.92157919664668;91.8468474110005;92.5462725759194;5465978
2011-06-16;92.50077056884766;93.04666772752387;91.99468030213717;92.15389879410128;5084711
2011-06-17;93.50727844238281;93.88257596757967;93.01824174314501;93.3935483442415;7478586
2011-06-20;93.83709716796875;94.1725969076873;93.02394185822237;93.0864929648106;4138081
2011-06-21;94.51944732666016;94.82082161200137;93.2570624535444;93.93943388170136;5635116
2011-06-22;94.21243286132812;94.85499780440256;93.88262357777351;94.16126291331962;4142683
