Date;Close;High;Low;Open;Volume;RSI;Bandwidth;%B
2022-01-31;149.57350158691406;150.36050415039062;144.30050659179688;144.75;78308000;39.905045650749855;26.412278084335288;0.35615004631403613
2022-02-01;151.19349670410156;151.70799255371094;147.62750244140625;150.0;59220000;42.84852332184782;25.13288997740769;0.414335873096495
2022-02-02;150.6125030517578;155.0749969482422;148.86349487304688;155.05050659179688;87330000;42.052983517187336;24.11840222361038;0.41737729411700497
2022-02-03;138.8455047607422;144.24749755859375;138.33299255371094;141.7375030517578;225532000;29.931942054224848;24.83363218498271;0.1418736943083401
2022-02-04;157.63949584960938;161.1999969482422;150.60800170898438;155.60650634765625;253456000;53.15589272446028;24.232240307065723;0.6497751795588395
2022-02-07;157.9355010986328;162.6909942626953;157.25;158.52000427246094;102624000;53.417772134910784;23.718959626728438;0.6678752938750252
2022-02-08;161.4134979248047;161.79249572753906;155.55050659179688;156.75050354003906;76040000;56.49526707051103;23.70938666875816;0.764629899167179
2022-02-09;161.1894989013672;163.83450317382812;160.25;162.87350463867188;68786000;56.23757249044643;23.02871429536144;0.7723863087436798
2022-02-10;159.0034942626953;160.7165069580078;157.75;158.35000610351562;68268000;53.66496400167935;22.05995075443213;0.7287532929215162
2022-02-11;153.2935028076172;159.0;152.73399353027344;158.13450622558594;77100000;47.54659562694298;21.3390436681093;0.572150454898571
2022-02-14;155.16700744628906;158.44850158691406;151.64999389648438;151.75100708007812;83230000;49.577876182969334;20.46542336870543;0.6474902494636579
2022-02-15;156.510498046875;158.0070037841797;154.6374969482422;157.60549926757812;56440000;51.04202172413625;20.182680134601362;0.6978683700595008
2022-02-16;158.10049438476562;158.83399963378906;154.7344970703125;155.79049682617188;52704000;52.78925209571917;20.379193258142543;0.7447178847770896
2022-02-17;154.65249633789062;160.3489990234375;154.5;158.14599609375;64032000;48.72799220080173;20.48740641421597;0.6267030042999137
2022-02-18;152.60150146484375;155.49949645996094;150.89300537109375;155.49949645996094;63604000;46.43932111648489;19.8374499572197;0.5454642203477484
2022-02-22;150.19749450683594;152.9824981689453;148.48550415039062;150.47850036621094;66128000;43.84016212553393;19.397568045474532;0.4549974875892225
2022-02-23;144.82699584960938;151.76300048828125;144.6510009765625;151.65049743652344;64244000;38.63756382494269;18.5475059003232;0.253616544670805
2022-02-24;151.35800170898438;151.74899291992188;139.5;139.83749389648438;100786000;46.891520013165454;16.7729022392062;0.459760881822587
2022-02-25;153.7884979248047;153.99000549316406;149.2135009765625;150.5500030517578;62396000;49.608084341553884;14.849597290799254;0.5305469095540861
2022-02-28;153.56300354003906;154.4499969482422;150.85000610351562;152.4250030517578;57684000;49.3558407497263;13.764604181473564;0.49951293881559533
2022-03-01;151.14199829101562;154.0989990234375;149.9770050048828;152.7324981689453;44874000;46.61527265869474;13.63125798796754;0.3801734857232342
2022-03-02;152.05250549316406;152.99949645996094;148.75;150.8489990234375;47334000;47.78944723211944;13.583610727254772;0.4213418274537009
2022-03-03;147.89849853515625;153.9290008544922;146.8560028076172;153.531494140625;65198000;43.12874864266749;13.888509083159924;0.23458704508283287
2022-03-04;145.64100646972656;147.85000610351562;143.8070068359375;147.15899658203125;60934000;40.79999870585317;11.803128861098907;0.04540031901479575
2022-03-07;137.4530029296875;146.09449768066406;137.41650390625;145.44349670410156;86934000;33.69373084655773;14.898361487439459;-0.17768939138096082
2022-03-08;136.01449584960938;140.69949340820312;133.57249450683594;136.68350219726562;91662000;32.61882984674152;17.517594266712713;-0.09340180148109087
2022-03-09;139.2790069580078;140.25;136.8280029296875;139.5;82656000;37.492356249466226;18.036911664723025;0.08028067100657427
2022-03-10;146.8175048828125;148.67449951171875;143.97799682617188;145.68499755859375;135062000;47.021535446022064;17.054876742535317;0.37682050319643
2022-03-11;145.52450561523438;149.6750030517578;145.36900329589844;149.57449340820312;68900000;45.733710173656114;16.371466124652056;0.3457715443276626
2022-03-14;141.85299682617188;147.4499969482422;140.88400268554688;145.9810028076172;74086000;42.19945459935164;16.79181991198056;0.22494135816961255
2022-03-15;147.3665008544922;147.98500061035156;142.0;142.85000610351562;75584000;48.620676858895905;16.367929961166684;0.4602308991960177
2022-03-16;153.10400390625;153.14999389648438;147.35350036621094;148.5;84958000;54.30914077961856;15.881966705211582;0.7100326864200712
2022-03-17;157.23899841308594;157.49850463867188;152.13999938964844;152.6405029296875;72934000;57.92466214245932;15.697017468784855;0.8922694634442138
2022-03-18;161.25050354003906;161.593994140625;156.01100158691406;156.81300354003906;102962000;61.137504314472636;17.076782487785533;1.0050032775094901
2022-03-21;161.4915008544922;163.08399963378906;159.55299377441406;161.12100219726562;66538000;61.328551985912604;18.536922051373107;0.9564624461129771
2022-03-22;164.88900756835938;166.16700744628906;161.69900512695312;161.8054962158203;64086000;64.0143492466955;20.669232568282073;0.9934665151187755
2022-03-23;163.4080047607422;166.3699951171875;162.68699645996094;163.7050018310547;55812000;61.99316076886703;21.788894274022244;0.8917534039160232
2022-03-24;163.64950561523438;164.11849975585938;160.0500030517578;163.74949645996094;56798000;62.20273473420598;22.97920088307276;0.8592110268783014
2022-03-25;164.77349853515625;165.36849975585938;162.25;164.0;49032000;63.219276967323296;24.167160556743408;0.8559920564681586
2022-03-28;168.99049377441406;169.03750610351562;164.89999389648438;164.97500610351562;59854000;66.82430986627185;25.990453694528824;0.9162813598967143
2022-03-29;169.31500244140625;170.8314971923828;167.86849975585938;170.38400268554688;66154000;67.0916126268774;27.522864242200562;0.8769396674239714
2022-03-30;166.30099487304688;168.95050048828125;165.5;168.50950622558594;56168000;62.08789135227104;28.329234822357762;0.7791643793647034
2022-03-31;162.99749755859375;166.4949951171875;162.95350646972656;166.44500732421875;59966000;57.06441298739592;28.36168959163261;0.685086800321112
2022-04-01;163.55999755859375;165.82699584960938;162.3195037841797;164.14950561523438;57090000;57.692113108446044;28.048261987054563;0.6784462204482024
2022-04-04;168.34649658203125;168.39450073242188;163.20550537109375;164.125;49882000;62.69054565985655;26.432816254982967;0.7654566075477922
2022-04-05;164.05499267578125;168.11050415039062;163.26600646972656;167.7415008544922;53728000;56.2714104528285;23.331588923708505;0.6443285513538682
2022-04-06;158.75599670410156;162.1999969482422;157.25450134277344;161.65049743652344;79056000;49.5278027868305;20.330549602365856;0.47140269246145794
2022-04-07;157.7845001220703;160.07899475097656;154.51150512695312;158.39999389648438;68136000;48.383002623625046;18.92542206106359;0.41926555373551233
2022-04-08;154.4604949951172;157.36849975585938;154.2310028076172;156.75;46002000;44.585650910332596;17.26951917748734;0.27587850773205025
2022-04-11;151.1219940185547;154.13650512695312;150.5345001220703;152.71299743652344;52112000;41.09688805249128;14.633719225235623;0.07504286158247409
2022-04-12;150.78750610351562;155.0989990234375;150.38299560546875;153.6925048828125;55178000;40.75281743654051;13.716117866503708;0.024246070126867664
2022-04-13;155.54100036621094;156.02499389648438;149.60000610351562;150.01849365234375;53390000;47.4820239186692;13.315271410741747;0.2257628879325721
2022-04-14;151.7064971923828;155.89700317382812;151.4720001220703;155.38999938964844;51598000;43.21780342971952;14.183312427178741;0.0864515051126332
2022-04-18;152.78500366210938;154.0395050048828;150.25050354003906;151.52349853515625;46514000;44.7215162037826;14.927491953691218;0.16862364639566524
2022-04-19;158.11549377441406;158.6490020751953;151.55050659179688;152.0294952392578;54926000;51.55070656793242;15.00252151928628;0.39822358404974606
2022-04-20;153.9980010986328;157.6024932861328;153.60350036621094;157.6024932861328;59630000;46.74659127985839;15.24480150865171;0.25303897745770904
2022-04-21;148.29600524902344;156.73800659179688;147.58949279785156;154.71400451660156;63970000;41.0424436821703;16.455037140743656;0.08137695366742782
2022-04-22;144.35000610351562;149.61500549316406;143.69749450683594;148.25;73078000;37.621169558716915;18.2493656116581;0.017047748770342527
2022-04-25;146.07400512695312;146.22149658203125;142.30650329589844;144.0229949951172;61874000;39.975398316719726;19.134656649342077;0.1249593647402317
2022-04-26;139.39100646972656;144.8560028076172;138.92950439453125;144.8000030517578;77530000;34.534358894517055;20.508578332154524;-0.01598366925844253
2022-04-27;138.16700744628906;141.94850158691406;135.7834930419922;140.19149780273438;71336000;33.63148013794094;21.39499526909558;0.010500104155184197
2022-04-28;144.59649658203125;145.9375;140.3000030517578;142.17799377441406;117316000;42.182491586660795;20.968554555101317;0.23086978348219334
2022-04-29;124.28150177001952;130.76100158691406;121.625;129.8489990234375;272662000;29.32578085012345;26.166737619002095;-0.18263342523685977
2022-05-02;124.5;124.66799926757812;118.375;122.4010009765625;148788000;29.574405427138203;29.652742893413674;-0.06122799887479409
2022-05-03;124.25350189208984;126.22049713134766;122.8249969482422;124.05349731445312;79134000;29.448542682957168;31.136354048184074;0.0002441725641296932
2022-05-04;125.92849731445312;126.0;119.18299865722656;123.5999984741211;110746000;31.57939238762509;32.093075739374164;0.08560870683756946
2022-05-05;116.40699768066406;123.4990005493164;115.07250213623048;123.0;144392000;26.65165623208287;35.764775458184026;-0.021991062173002986
2022-05-06;114.77249908447266;119.05049896240234;113.0814971923828;114.8499984741211;124260000;25.9043806854974;38.96615253176155;0.022980945223793268
2022-05-09;108.78900146484376;114.0;107.95700073242188;111.3125;128124000;23.325972980486014;43.36663970303991;0.002812615319940115
2022-05-10;108.85900115966795;112.64250183105467;107.1709976196289;111.25;105434000;23.42200323617739;47.079485799094265;0.06888865720220401
2022-05-11;105.37200164794922;110.15599822998048;104.42849731445312;108.10350036621094;109704000;21.94737412935237;50.87956696486504;0.07654522648039602
2022-05-12;106.93049621582033;110.78050231933594;102.40550231933594;102.75;132026000;24.243094979742196;52.612995800475105;0.14044038801224576
2022-05-13;113.05500030517578;113.18399810791016;107.8000030517578;109.06900024414062;93684000;32.629084730408806;52.889489129506714;0.25423231934579105
